iter	Passed	Remaining
0	1	186
1	3	152
2	4	136
3	5	124
4	6	118
5	7	114
6	8	111
7	9	110
8	10	108
9	11	106
10	12	104
11	14	103
12	15	104
13	16	102
14	17	100
15	18	98
16	19	97
17	21	95
18	22	94
19	23	93
20	24	91
21	25	90
22	26	88
23	27	88
24	28	86
25	30	86
26	31	85
27	32	84
28	33	83
29	35	81
30	36	80
31	37	79
32	38	78
33	39	77
34	41	76
35	42	75
36	43	73
37	44	73
38	46	72
39	47	71
40	48	70
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	55	62
47	56	60
48	57	59
49	58	58
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	68	49
58	69	48
59	70	47
60	71	45
61	73	44
62	74	43
63	75	42
64	76	41
65	78	40
66	79	39
67	80	37
68	81	36
69	83	35
70	84	34
71	85	33
72	87	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	17
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	120	0
